,label,combined_symptoms
1179,Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
1180,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
1181,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
1182,(vertigo) Paroymsal  Positional Vertigo, headache  nausea  spinning movements  loss of balance  unsteadiness            
1183,(vertigo) Paroymsal  Positional Vertigo, vomiting  nausea  spinning movements  loss of balance  unsteadiness            
1184,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  spinning movements  loss of balance  unsteadiness            
1185,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  loss of balance  unsteadiness            
1186,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  unsteadiness            
1187,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance            
1188,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness           
1189,(vertigo) Paroymsal  Positional Vertigo, vomiting  headache  nausea  loss of balance  unsteadiness            
1190,Acne, skin rash  pus filled pimples  blackheads  scurring             
1191,Acne, skin rash  pus filled pimples  blackheads  scurring             
1192,Acne, pus filled pimples  blackheads  scurring              
1193,Acne, skin rash  blackheads  scurring              
1194,Acne, skin rash  pus filled pimples  scurring              
1195,Acne, skin rash  pus filled pimples  blackheads              
1196,Acne, skin rash  pus filled pimples  blackheads  scurring             
1197,Acne, skin rash  pus filled pimples  blackheads              
1198,Acne, skin rash  pus filled pimples  scurring              
1199,Acne, skin rash  blackheads  scurring              
1200,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
1201,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
1202,Urinary tract infection, bladder discomfort  foul smell of urine  continuous feel of urine              
1203,Urinary tract infection, burning micturition  foul smell of urine  continuous feel of urine              
1204,Urinary tract infection, burning micturition  bladder discomfort  continuous feel of urine              
1205,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine              
1206,Urinary tract infection, burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine             
1207,Urinary tract infection, burning micturition  bladder discomfort  continuous feel of urine              
1208,Urinary tract infection, bladder discomfort  foul smell of urine  continuous feel of urine              
1209,Urinary tract infection, burning micturition  bladder discomfort  continuous feel of urine              
1210,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
1211,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
1212,Psoriasis, joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails            
1213,Psoriasis, skin rash  skin peeling  silver like dusting  small dents in nails  inflammatory nails            
1214,Psoriasis, skin rash  joint pain  silver like dusting  small dents in nails  inflammatory nails            
1215,Psoriasis, skin rash  joint pain  skin peeling  small dents in nails  inflammatory nails            
1216,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  inflammatory nails            
1217,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails            
1218,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
1219,Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
1220,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
1221,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
1222,Impetigo, high fever  blister  red sore around nose  yellow crust ooze             
1223,Impetigo, skin rash  blister  red sore around nose  yellow crust ooze             
1224,Impetigo, skin rash  blister  red sore around nose  yellow crust ooze             
1225,Impetigo, skin rash  high fever  red sore around nose  yellow crust ooze             
1226,Impetigo, skin rash  high fever  blister  yellow crust ooze             
1227,Impetigo, skin rash  high fever  blister  red sore around nose             
1228,Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
1229,Impetigo, skin rash  blister  red sore around nose  yellow crust ooze             
1230,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
1231,Fungal infection, skin rash  nodal skin eruptions  dischromic  patches              
1232,Fungal infection,itching  nodal skin eruptions  dischromic  patches              
1233,Fungal infection,itching  skin rash  dischromic  patches              
1234,Fungal infection,itching  skin rash  nodal skin eruptions              
1235,Fungal infection, skin rash  nodal skin eruptions  dischromic  patches              
1236,Fungal infection,itching  nodal skin eruptions  dischromic  patches              
1237,Fungal infection,itching  skin rash  dischromic  patches              
1238,Fungal infection,itching  skin rash  nodal skin eruptions              
1239,Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
1240,Allergy, continuous sneezing  shivering  chills  watering from eyes             
1241,Allergy, shivering  chills  watering from eyes              
1242,Allergy, continuous sneezing  chills  watering from eyes              
1243,Allergy, continuous sneezing  shivering  watering from eyes              
1244,Allergy, continuous sneezing  shivering  chills              
1245,Allergy, shivering  chills  watering from eyes              
1246,Allergy, continuous sneezing  chills  watering from eyes              
1247,Allergy, continuous sneezing  shivering  watering from eyes              
1248,Allergy, continuous sneezing  shivering  chills              
1249,Allergy, continuous sneezing  shivering  chills  watering from eyes             
1250,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
1251,GERD, stomach pain  ulcers on tongue  vomiting  cough  chest pain            
1252,GERD, stomach pain  acidity  vomiting  cough  chest pain            
1253,GERD, stomach pain  acidity  ulcers on tongue  cough  chest pain            
1254,GERD, stomach pain  acidity  ulcers on tongue  vomiting  chest pain            
1255,GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough            
1256,GERD, acidity  ulcers on tongue  vomiting  cough  chest pain            
1257,GERD, stomach pain  ulcers on tongue  vomiting  cough  chest pain            
1258,GERD, stomach pain  acidity  vomiting  cough  chest pain            
1259,GERD, stomach pain  acidity  ulcers on tongue  cough  chest pain            
1260,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
1261,Chronic cholestasis, vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes           
1262,Chronic cholestasis,itching  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes           
1263,Chronic cholestasis,itching  vomiting  nausea  loss of appetite  abdominal pain  yellowing of eyes           
1264,Chronic cholestasis,itching  vomiting  yellowish skin  loss of appetite  abdominal pain  yellowing of eyes           
1265,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  abdominal pain  yellowing of eyes           
1266,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  yellowing of eyes           
1267,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain           
1268,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
1269,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
1270,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
1271,Drug Reaction,itching  stomach pain  burning micturition  spotting  urination             
1272,Drug Reaction,itching  skin rash  burning micturition  spotting  urination             
1273,Drug Reaction,itching  skin rash  stomach pain  spotting  urination             
1274,Drug Reaction,itching  skin rash  stomach pain  burning micturition             
1275,Drug Reaction, skin rash  stomach pain  burning micturition  spotting  urination             
1276,Drug Reaction,itching  stomach pain  burning micturition  spotting  urination             
1277,Drug Reaction,itching  skin rash  burning micturition  spotting  urination             
1278,Drug Reaction,itching  skin rash  stomach pain  spotting  urination             
1279,Drug Reaction,itching  skin rash  stomach pain  burning micturition             
1280,Peptic ulcer diseae, vomiting  loss of appetite  abdominal pain  passage of gases  internal itching            
1281,Peptic ulcer diseae, vomiting  indigestion  abdominal pain  passage of gases  internal itching            
1282,Peptic ulcer diseae, indigestion  loss of appetite  abdominal pain  passage of gases  internal itching            
1283,Peptic ulcer diseae, vomiting  loss of appetite  abdominal pain  passage of gases  internal itching            
1284,Peptic ulcer diseae, vomiting  indigestion  abdominal pain  passage of gases  internal itching            
1285,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  passage of gases  internal itching            
1286,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  internal itching            
1287,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases            
1288,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
1289,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
1290,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
1291,AIDS, patches in throat  high fever  extra marital contacts              
1292,AIDS, muscle wasting  high fever  extra marital contacts              
1293,AIDS, muscle wasting  patches in throat  extra marital contacts              
1294,AIDS, muscle wasting  patches in throat  high fever              
1295,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
1296,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
1297,AIDS, patches in throat  high fever  extra marital contacts              
1298,AIDS, muscle wasting  high fever  extra marital contacts              
1299,AIDS, muscle wasting  patches in throat  high fever              
1300,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
1301,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
1302,Diabetes , weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
1303,Diabetes , fatigue  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
1304,Diabetes , fatigue  weight loss  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
1305,Diabetes , fatigue  weight loss  restlessness  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
1306,Diabetes , fatigue  weight loss  restlessness  lethargy  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
1307,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  obesity  excessive hunger  increased appetite  polyuria        
1308,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  excessive hunger  increased appetite  polyuria        
1309,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  increased appetite  polyuria        
1310,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
1311,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
1312,Gastroenteritis, sunken eyes  dehydration  diarrhoea              
1313,Gastroenteritis, vomiting  dehydration  diarrhoea              
1314,Gastroenteritis, vomiting  sunken eyes  diarrhoea              
1315,Gastroenteritis, vomiting  sunken eyes  dehydration              
1316,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
1317,Gastroenteritis, sunken eyes  dehydration  diarrhoea              
1318,Gastroenteritis, vomiting  dehydration  diarrhoea              
1319,Gastroenteritis, vomiting  sunken eyes  diarrhoea              
1320,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
1321,Bronchial Asthma, cough  high fever  breathlessness  family history  mucoid sputum            
1322,Bronchial Asthma, fatigue  high fever  breathlessness  family history  mucoid sputum            
1323,Bronchial Asthma, fatigue  cough  breathlessness  family history  mucoid sputum            
1324,Bronchial Asthma, fatigue  cough  high fever  family history  mucoid sputum            
1325,Bronchial Asthma, fatigue  cough  high fever  breathlessness  mucoid sputum            
1326,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history            
1327,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
1328,Bronchial Asthma, cough  high fever  breathlessness  family history  mucoid sputum            
1329,Bronchial Asthma, fatigue  high fever  breathlessness  family history  mucoid sputum            
1330,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
1331,Hypertension , chest pain  dizziness  loss of balance  lack of concentration             
1332,Hypertension , headache  dizziness  loss of balance  lack of concentration             
1333,Hypertension , headache  chest pain  loss of balance  lack of concentration             
1334,Hypertension , headache  chest pain  dizziness  lack of concentration             
1335,Hypertension , headache  chest pain  dizziness  loss of balance             
1336,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
1337,Hypertension , chest pain  dizziness  loss of balance  lack of concentration             
1338,Hypertension , headache  dizziness  loss of balance  lack of concentration             
1339,Hypertension , headache  chest pain  loss of balance  lack of concentration             
1340,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
1341,Migraine, indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances         
1342,Migraine, acidity  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances         
1343,Migraine, acidity  indigestion  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances         
1344,Migraine, acidity  indigestion  headache  excessive hunger  stiff neck  depression  irritability  visual disturbances         
1345,Migraine, acidity  indigestion  headache  blurred and distorted vision  stiff neck  depression  irritability  visual disturbances         
1346,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  depression  irritability  visual disturbances         
1347,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  irritability  visual disturbances         
1348,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  visual disturbances         
1349,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability         
1350,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
1351,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
1352,Cervical spondylosis, weakness in limbs  neck pain  dizziness  loss of balance             
1353,Cervical spondylosis, back pain  neck pain  dizziness  loss of balance             
1354,Cervical spondylosis, back pain  weakness in limbs  dizziness  loss of balance             
1355,Cervical spondylosis, back pain  weakness in limbs  neck pain  loss of balance             
1356,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness             
1357,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
1358,Cervical spondylosis, weakness in limbs  neck pain  dizziness  loss of balance             
1359,Cervical spondylosis, back pain  neck pain  dizziness  loss of balance             
1360,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
1361,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
1362,Paralysis (brain hemorrhage), headache  weakness of one body side  altered sensorium              
1363,Paralysis (brain hemorrhage), vomiting  weakness of one body side  altered sensorium              
1364,Paralysis (brain hemorrhage), vomiting  headache  altered sensorium              
1365,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side              
1366,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
1367,Paralysis (brain hemorrhage), headache  weakness of one body side  altered sensorium              
1368,Paralysis (brain hemorrhage), vomiting  weakness of one body side  altered sensorium              
1369,Paralysis (brain hemorrhage), vomiting  headache  altered sensorium              
1370,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
1371,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
1372,Jaundice, vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain          
1373,Jaundice,itching  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain          
1374,Jaundice,itching  vomiting  weight loss  high fever  yellowish skin  dark urine  abdominal pain          
1375,Jaundice,itching  vomiting  fatigue  high fever  yellowish skin  dark urine  abdominal pain          
1376,Jaundice,itching  vomiting  fatigue  weight loss  yellowish skin  dark urine  abdominal pain          
1377,Jaundice,itching  vomiting  fatigue  weight loss  high fever  dark urine  abdominal pain          
1378,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  abdominal pain          
1379,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine          
1380,Malaria, chills  vomiting  high fever  sweating  headache  nausea  muscle pain          
1381,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
1382,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
1383,Malaria, vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain          
1384,Malaria, chills  high fever  sweating  headache  nausea  diarrhoea  muscle pain          
1385,Malaria, chills  vomiting  sweating  headache  nausea  diarrhoea  muscle pain          
1386,Malaria, chills  vomiting  high fever  headache  nausea  diarrhoea  muscle pain          
1387,Malaria, chills  vomiting  high fever  sweating  nausea  diarrhoea  muscle pain          
1388,Malaria, chills  vomiting  high fever  sweating  headache  diarrhoea  muscle pain          
1389,Malaria, chills  vomiting  high fever  sweating  headache  nausea  muscle pain          
1390,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
1391,Chicken pox, skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
1392,Chicken pox,itching  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
1393,Chicken pox,itching  skin rash  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
1394,Chicken pox,itching  skin rash  fatigue  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
1395,Chicken pox,itching  skin rash  fatigue  lethargy  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
1396,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
1397,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  mild fever  swelled lymph nodes  malaise  red spots over body       
1398,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  swelled lymph nodes  malaise  red spots over body       
1399,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  malaise  red spots over body       
1400,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  muscle pain  red spots over body    
1401,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  red spots over body    
1402,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain    
1403,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
1404,Dengue, chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
1405,Dengue, skin rash  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
1406,Dengue, skin rash  chills  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
1407,Dengue, skin rash  chills  joint pain  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
1408,Dengue, skin rash  chills  joint pain  vomiting  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
1409,Dengue, skin rash  chills  joint pain  vomiting  fatigue  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
1410,Typhoid, chills  vomiting  fatigue  high fever  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
1411,Typhoid, chills  vomiting  fatigue  high fever  headache  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
1412,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
1413,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  diarrhoea  toxic look (typhos)  belly pain       
1414,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  toxic look (typhos)  belly pain       
1415,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  belly pain       
1416,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)       
1417,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
1418,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
1419,Typhoid, chills  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
1420,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
1421,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
1422,hepatitis A, vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
1423,hepatitis A, joint pain  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
1424,hepatitis A, joint pain  vomiting  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
1425,hepatitis A, joint pain  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
1426,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
1427,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
1428,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  diarrhoea  mild fever  yellowing of eyes  muscle pain       
1429,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  mild fever  yellowing of eyes  muscle pain       
1430,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
1431,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
1432,Hepatitis B, fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1433,Hepatitis B,itching  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1434,Hepatitis B,itching  fatigue  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1435,Hepatitis B,itching  fatigue  lethargy  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1436,Hepatitis B,itching  fatigue  lethargy  yellowish skin  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1437,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1438,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1439,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
1440,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  family history            
1441,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
1442,Hepatitis C, yellowish skin  nausea  loss of appetite  yellowing of eyes  family history            
1443,Hepatitis C, fatigue  nausea  loss of appetite  yellowing of eyes  family history            
1444,Hepatitis C, fatigue  yellowish skin  loss of appetite  yellowing of eyes  family history            
1445,Hepatitis C, fatigue  yellowish skin  nausea  yellowing of eyes  family history            
1446,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  family history            
1447,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes            
1448,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
1449,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
1450,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
1451,Hepatitis D, vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
1452,Hepatitis D, joint pain  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
1453,Hepatitis D, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
1454,Hepatitis D, joint pain  vomiting  fatigue  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
1455,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes         
1456,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  loss of appetite  abdominal pain  yellowing of eyes         
1457,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  abdominal pain  yellowing of eyes         
1458,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  yellowing of eyes         
1459,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain         
1460,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  coma  stomach bleeding     
1461,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
1462,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
1463,Hepatitis E, vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
1464,Hepatitis E, joint pain  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
1465,Hepatitis E, joint pain  vomiting  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
1466,Hepatitis E, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
1467,Hepatitis E, joint pain  vomiting  fatigue  high fever  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
1468,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
1469,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
1470,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
